arabic name,english name,x,y
الوادي الجديد,New Valley,-145,-113
أسوان,Aswan,120,-160
البحر الأحمر,Red Sea,197,-157
قنا,Qena,123,-40
الأقصر,Luxor,106,-69
سوهاج,Sohag,81,-7
أسيوط,Assiut,41,34
المنيا,Minya,-13,87
الجيزة,Giza,-80,126
القاهرة,Cairo,45,200
القليوبية,Qalyubia,27,217
المنوفية,Monufia,15,235
الشرقية,Sharqia,55,243
البحيرة,Beheira,-26,242
الغربية,Gharbia,13,257
كفر الشيخ,Kafr El-Sheikh,8,282
الأسكندرية,Alexandria,-56,258
مرسي مطروح,Matrouh,-226,177
الدقهلية,Dakahlia,42,268
دمياط,Dammietta,52,287
الأسماعيلية,Ismailia,88,232
بورسعيد,Port Said,85,272
السويس,Suez,81,191
شمال سيناء,North Sinai,154,240
جنوب سيناء,South Sinai,170,137
الفيوم,Faiyum,-10,158
بني سويف,Beni Suef,0,128
